Comparison	Gene	PVal	FDR	Log2FC	abs	Label	Paradigm
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	GABARAPL2	1.20399364254193e-16	8.16909686464701e-15	0.307147473110515	0.307147473110515	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	FSIP2	1.35865579139062e-16	9.16754871837219e-15	-0.291423792812417	0.291423792812417	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	NDUFA3	1.76588525268011e-16	1.18498662587814e-14	0.41555064340969	0.41555064340969	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TSPAN7	1.89262044411074e-16	1.26309144720899e-14	0.177121450167844	0.177121450167844	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS8	2.00115955016538e-16	1.32826965142227e-14	0.285372207540331	0.285372207540331	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TMEM259	2.15641845103793e-16	1.42358586716358e-14	-0.25609028240083	0.25609028240083	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TNR	2.84579635807873e-16	1.8685866086675e-14	0.230962453269714	0.230962453269714	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	BSG	2.97849452749047e-16	1.94525955423749e-14	0.2088015099357	0.2088015099357	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	MYT1	3.5784801061332e-16	2.3246796561811e-14	-0.276567836320097	0.276567836320097	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RBP1	4.28451103937851e-16	2.76513700551074e-14	0.40379314157423	0.40379314157423	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	MUC20-OT1	4.30177704943127e-16	2.76513700551074e-14	-0.258540103815837	0.258540103815837	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	BPTF	4.40766631257295e-16	2.81836799347923e-14	-0.317982733269786	0.317982733269786	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	COX5B	4.71409359394063e-16	2.99860547202067e-14	0.33159742794742	0.33159742794742	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	HBD	4.89950690549166e-16	3.10039781537667e-14	0.344167138531699	0.344167138531699	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	ATP5MD	6.72570308454702e-16	4.21235957802937e-14	0.394974069420971	0.394974069420971	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS13	8.003752315869e-16	4.98723607314837e-14	0.286357186315903	0.286357186315903	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	NFIA	8.27532424856331e-16	5.13028096688852e-14	-0.27518858033716	0.27518858033716	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL27A	9.27244453246405e-16	5.71941237752442e-14	0.341336388179522	0.341336388179522	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	C11orf96	1.06775364252601e-15	6.55300263124127e-14	0.397584507521851	0.397584507521851	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPLP2	1.16989140679697e-15	7.14394187560571e-14	0.334903914181894	0.334903914181894	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL8	1.27190180559615e-15	7.72822723967453e-14	0.219157153636107	0.219157153636107	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	FTL	1.33575712146221e-15	8.07604045763266e-14	0.258078770505031	0.258078770505031	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL11	1.47314865449402e-15	8.86283966371207e-14	0.262194187090929	0.262194187090929	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	LHFPL3	1.50029803975677e-15	8.97872852460492e-14	0.330143228465994	0.330143228465994	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS25	1.50711483463851e-15	8.97872852460492e-14	0.306273779462034	0.306273779462034	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TRIM9	1.61196750103977e-15	9.55677625737799e-14	-0.283371416961132	0.283371416961132	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	ARL6IP5	1.81199917872634e-15	1.0639397100858e-13	0.332289820006681	0.332289820006681	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	BCHE	1.9079091357441e-15	1.11489446291114e-13	0.253472461267429	0.253472461267429	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL10	2.03970208220682e-15	1.18623245380914e-13	0.241349415797385	0.241349415797385	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL7A	2.61262741457326e-15	1.51222837034044e-13	0.257895377384298	0.257895377384298	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL3	2.83305933789049e-15	1.62442036120453e-13	0.232908438568101	0.232908438568101	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TSPAN3	2.98954023174026e-15	1.706133404217e-13	0.195671206675563	0.195671206675563	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	ATP5MC2	3.29403870675912e-15	1.87116719654182e-13	0.293958372204844	0.293958372204844	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	LRP1	3.75477487921933e-15	2.12301229629193e-13	0.211532623841736	0.211532623841736	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS10	3.9707151833748e-15	2.2347624209473e-13	0.290628153308706	0.290628153308706	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SLC22A17	5.08720605191552e-15	2.85000217945157e-13	0.185747069613258	0.185747069613258	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TMEM258	5.46576524897342e-15	3.0481000450097e-13	0.365611305099754	0.365611305099754	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	PEBP1	6.43023603611878e-15	3.56965785041448e-13	0.189777742985571	0.189777742985571	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	MACF1	6.54984298322456e-15	3.61960327394215e-13	-0.30064327449482	0.30064327449482	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS15A	6.87332309231532e-15	3.78125652821834e-13	0.291271815610888	0.291271815610888	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TM9SF3	7.76174200287538e-15	4.2508589722474e-13	0.327703740115945	0.327703740115945	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	LDHB	8.33874982329733e-15	4.5464799817826e-13	0.230828041518728	0.230828041518728	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	IL1RAP	9.59541131474186e-15	5.20838926164188e-13	-0.245082447376057	0.245082447376057	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TCF4	1.07202185046671e-14	5.79318710608406e-13	-0.254587578695378	0.254587578695378	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	LAMTOR4	1.11652871205624e-14	6.00712121601009e-13	0.35700807005813	0.35700807005813	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	HNRNPU	1.12849335052876e-14	6.04486372368761e-13	-0.287268156674919	0.287268156674919	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS2	1.27100240792255e-14	6.77849450129176e-13	0.250372009186997	0.250372009186997	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	CHORDC1	1.34031942356881e-14	7.08628619915405e-13	-0.217525802485699	0.217525802485699	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	ZNF428	1.33667698985602e-14	7.08628619915405e-13	0.274422339506621	0.274422339506621	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	ATP6AP2	1.35036468291199e-14	7.1086223587949e-13	0.296837687123603	0.296837687123603	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SCN1A	1.47318977574167e-14	7.7219170519884e-13	-0.307162282083897	0.307162282083897	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	C1QL1	1.60916994973598e-14	8.39862931458356e-13	0.381336889770972	0.381336889770972	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TCEAL7	1.61751195600536e-14	8.40624405050784e-13	0.315294601034798	0.315294601034798	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL24	1.6940454889199e-14	8.76668540516049e-13	0.256976520445208	0.256976520445208	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	COPS9	1.90389817845702e-14	9.76987750146873e-13	0.386998181821673	0.386998181821673	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS26	2.18695142879593e-14	1.11754133053911e-12	0.316722837557333	0.316722837557333	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TRIO	2.4980459338321e-14	1.27119312457881e-12	-0.307822183939691	0.307822183939691	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	GSTP1	2.6895854572345e-14	1.36298370079689e-12	0.254796450683113	0.254796450683113	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SPCS1	3.90532615089718e-14	1.97089868929369e-12	0.335400421106589	0.335400421106589	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	ATP5MG	4.07265650492453e-14	2.04688699154911e-12	0.359811742666967	0.359811742666967	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	ATP5MF	4.28972028147301e-14	2.14714564744384e-12	0.370325552360709	0.370325552360709	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	CUTA	4.52268300947728e-14	2.2545113303978e-12	0.354883648401615	0.354883648401615	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS9	5.43053281983262e-14	2.6960608670169e-12	0.183485191577618	0.183485191577618	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPS23	6.68784412732671e-14	3.3068275436049e-12	0.246681937498062	0.246681937498062	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL28	7.90289924991811e-14	3.89185921529233e-12	0.195936560859882	0.195936560859882	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	BTG2	8.62537667672529e-14	4.23059137963237e-12	0.303680194966229	0.303680194966229	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SOX4	1.01460001624373e-13	4.95652399935388e-12	0.280927874073885	0.280927874073885	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	EEF1B2	1.16068823259374e-13	5.64760373891128e-12	0.24762998289813	0.24762998289813	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	MGST3	1.310795972429e-13	6.35267905209341e-12	0.303262906207801	0.303262906207801	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	CYP51A1	1.58343436729093e-13	7.64366953664986e-12	0.166619311067832	0.166619311067832	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	HLA-B	1.67863300539401e-13	8.07131688774686e-12	-0.241120873919549	0.241120873919549	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	LUC7L3	1.70919505306235e-13	8.18603889531389e-12	-0.179057382504671	0.179057382504671	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	CLU	2.2732391789249e-13	1.08449492547695e-11	0.323062555619526	0.323062555619526	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	COL9A2	2.54393719044671e-13	1.20891458781812e-11	-0.270304337367674	0.270304337367674	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	NDUFA13	2.56193161862969e-13	1.2127469324932e-11	0.290931281630591	0.290931281630591	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	JUNB	2.65394003254e-13	1.2514505643788e-11	0.342098147664186	0.342098147664186	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	COL9A1	2.8018880827158e-13	1.31613304439262e-11	-0.303844863710319	0.303844863710319	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	COX4I1	2.95894575514372e-13	1.38458254818277e-11	0.301134953635465	0.301134953635465	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	COX6B1	2.97285765781868e-13	1.38578284637174e-11	0.284365759472045	0.284365759472045	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL21	3.06614529239937e-13	1.42383393369101e-11	0.266019731398314	0.266019731398314	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	RPL36AL	3.23335830134606e-13	1.49579564145225e-11	0.358687141846298	0.358687141846298	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	TALDO1	3.43733894109831e-13	1.58415926368429e-11	0.356898464750059	0.356898464750059	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SYT11	4.11950399770617e-13	1.88432592973728e-11	0.22711256770876	0.22711256770876	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	MIF	4.20568847123736e-13	1.9165698992247e-11	0.358101581359189	0.358101581359189	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	YWHAB	4.37252054615268e-13	1.9851893468462e-11	0.248363157259532	0.248363157259532	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	HNRNPA2B1	4.71448679118559e-13	2.13251952521295e-11	-0.157666376223716	0.157666376223716	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	EIF1	6.07507651881079e-13	2.73781953963971e-11	0.199609035129699	0.199609035129699	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	COX8A	6.12661051769304e-13	2.75089317105092e-11	0.323955452870174	0.323955452870174	Young WT Isograft vs Young WT Ctr	Isograft
