TF	Target	Weight
CTCF	RAB28	2.16579908890421
CTCF	THAP3	2.29176000534529
CTCF	YWHAE	1.36351286099039
CTCF	RPL14	1.31568306471796
CTCF	ABCF1	1.11472493349665
CTCF	MGME1	0.575911293272115
CTCF	MRPL11	1.17955564634181
CTCF	EIF1AX	2.05463902806454
CTCF	WSB2	0.4026523120348
CTCF	CCT6A	0.869262650697619
CTCF	CDK2AP2	2.56462284298166
CTCF	DESI2	1.27512796011671
CTCF	CCDC167	0.773401031706978
CTCF	UROD	0.420576898425256
CTCF	UBB	1.41550459427796
CTCF	RAC1	0.622576199753416
CTCF	PAK2	2.00457943850059
CTCF	MGLL	2.45339580506573
CTCF	TTI2	0.972851323673962
CTCF	BZW1	1.80095932662317
CTCF	DHPS	0.858821872678592
CTCF	CDV3	0.908954380689853
CTCF	NUP35	1.51069157808009
CTCF	GMFB	0.629907464338393
CTCF	WBP11	1.54599635921349
CTCF	PEX19	1.15318480056077
CTCF	XXYLT1	0.636115043815438
CTCF	ELP5	0.429508975626642
CTCF	RPS23	0.445200323568607
CTCF	KDELR2	0.921928676257979
CTCF	MKNK2	0.543954420610118
CTCF	DDAH2	0.434621174220714
CTCF	HNRNPAB	3.69531359124481
CTCF	HIRIP3	1.16080987834207
CTCF	CNEP1R1	3.12245867649593
CTCF	ARMC1	0.413003617091522
CTCF	VPS35	2.0940551327358
CTCF	C2orf69	3.81202005422065
CTCF	SBK1	1.66975175936827
CTCF	ANP32E	1.58020273396391
CTCF	SAMD1	2.57853735226014
CTCF	GMNN	2.05022952717256
CTCF	TADA2A	1.5341332859865
CTCF	PITPNA	3.03572373237
CTCF	TRIM28	2.41467657517318
CTCF	ZFP1	1.42675792047675
CTCF	NIM1K	1.77037564773963
CTCF	PENK	4.11377975358025
CTCF	SNX12	1.56851149400803
CTCF	VDAC3	2.54548040811407
CTCF	YWHAG	1.99365757581178
CTCF	BVES	1.73576748582268
CTCF	MAD2L2	1.4122506524247
CTCF	SNRPF	1.61271097213453
CTCF	GGH	2.28991740307919
CTCF	UBE2T	4.00472186297625
CTCF	MEAF6	2.63384325448453
CTCF	MAPK3	1.078250383659
CTCF	PRMT5	0.866868006122496
E2F1	PCNA	54.3121003355387
E2F1	FBXO5	5.29729412499529
E2F1	RANBP1	26.4952759278018
E2F1	CNTFR	1.62053764065977
E2F1	SIAH1	0.462837019449043
E2F1	PRPS1	0.644206077610354
E2F1	TUBA1B	13.1370018915207
E2F1	BRMS1L	1.1219593566392
E2F1	PAQR4	4.85326255701402
E2F1	AP2S1	3.67740423689842
E2F1	DCK	28.452779007845
E2F1	PPAT	1.77446267167182
E2F1	DUSP4	0.405678201797704
E2F1	HNRNPF	15.7550218815208
E2F1	HMGA1	1.44890939214579
E2F1	STMN1	13.3787177914366
E2F1	HMGN2	8.85379844488426
E2F1	FGD5-AS1	5.87346657814837
E2F1	BUB3	0.802813551578934
E2F1	LSM6	4.48109369380392
E2F1	PTMA	7.04919451424319
E2F1	GNAS	1.00127759162391
E2F1	HMGB2	3.82674760199552
E2F1	RMI1	20.2122463255098
E2F1	GNG4	4.21197221769164
E2F1	ICMT	7.93502023023292
E2F1	SUPT16H	19.6140838021673
